frequency,Radial Velocity,Intensity,,
335000,-70.75,3.491,,
340000,-71.81,3.486,,
345000,-72.87,3.489,,
350000,-73.92,3.496,,
355000,-74.98,3.496,,
360000,-76.03,3.438,,
365000,-77.09,3.408,,
370000,-78.15,3.379,,
375000,-79.20,3.34,,
380000,-80.26,3.291,,
385000,-81.32,3.259,,
390000,-82.37,3.247,,
395000,-83.43,3.22,,
400000,-84.48,3.203,,
405000,-85.54,3.135,,
410000,-86.60,3.066,,
415000,-87.65,3.037,,
420000,-88.71,3.088,,
425000,-89.76,3.066,,
430000,-90.82,3.027,,
435000,-91.88,3.035,,
440000,-92.93,3.008,,
445000,-93.99,2.979,,
450000,-95.04,2.986,,
455000,-96.10,2.993,,
460000,-97.16,2.979,,
465000,-98.21,2.966,,
470000,-99.27,2.964,,
475000,-100.32,2.959,,
480000,-101.38,2.947,,
485000,-102.44,2.949,,
490000,-103.49,2.971,,
495000,-104.55,2.998,,
500000,-105.60,3.018,,
505000,-106.66,3.027,,
510000,-107.72,3.027,,
515000,-108.77,3.018,,
520000,-109.83,2.998,,
525000,-110.88,3.027,,
530000,-111.94,3.035,,
535000,-113.00,3.052,,
540000,-114.05,3.054,,
545000,-115.11,3.076,,
550000,-116.16,3.054,,
555000,-117.22,3.027,,
560000,-118.28,2.988,,
565000,-119.33,3.008,,
570000,-120.39,2.979,,
575000,-121.44,2.959,,
580000,-122.50,2.959,,
585000,-123.56,2.954,,
590000,-124.61,2.93,,
595000,-125.67,2.898,,
600000,-126.72,2.881,,
605000,-127.78,2.876,,
610000,-128.84,2.891,,
615000,-129.89,2.878,,
620000,-130.95,2.861,,
625000,-132.01,2.891,,
630000,-133.06,2.856,,
635000,-134.12,2.874,,
640000,-135.17,2.869,,
645000,-136.23,2.881,,
650000,-137.29,2.915,,
655000,-138.34,2.969,,
660000,-139.40,2.976,,
665000,-140.45,2.93,,
670000,-141.51,2.93,,
675000,-142.57,2.927,,
680000,-143.62,2.91,,
685000,-144.68,2.869,,
690000,-145.73,2.842,,
695000,-146.79,2.859,,
700000,-147.85,2.861,,
705000,-148.90,2.908,,
710000,-149.96,2.891,,
715000,-151.01,2.883,,
720000,-152.07,2.871,,
725000,-153.13,2.869,,
730000,-154.18,2.871,,
735000,-155.24,2.927,,
740000,-156.29,2.896,,
745000,-157.35,2.881,,
750000,-158.41,2.871,,
755000,-159.46,2.849,,
760000,-160.52,2.847,,
765000,-161.57,2.852,,
770000,-162.63,2.878,,
775000,-163.69,2.861,,
780000,-164.74,2.861,,
785000,-165.80,2.891,,
790000,-166.85,2.9,,
795000,-167.91,2.891,,
800000,-168.97,2.891,,
805000,-170.02,2.896,,
810000,-171.08,2.905,,
815000,-172.13,2.891,,
820000,-173.19,2.876,,
825000,-174.25,2.891,,
830000,-175.30,2.9,,
835000,-176.36,2.91,,
840000,-177.41,2.883,,
845000,-178.47,2.927,,
850000,-179.53,2.898,,
855000,-180.58,2.9,,
860000,-181.64,2.915,,
865000,-182.70,2.91,,
870000,-183.75,2.905,,
875000,-184.81,2.891,,
880000,-185.86,2.891,,
885000,-186.92,2.9,,
890000,-187.98,2.954,,
895000,-189.03,3.01,,
900000,-190.09,2.976,,
905000,-191.14,2.957,,
910000,-192.20,2.969,,
915000,-193.26,2.949,,
920000,-194.31,2.935,,
925000,-195.37,2.93,,
930000,-196.42,2.92,,
935000,-197.48,2.939,,
940000,-198.54,2.937,,
945000,-199.59,2.954,,
950000,-200.65,2.959,,
955000,-201.70,2.939,,
960000,-202.76,2.949,,
965000,-203.82,2.92,,
970000,-204.87,2.947,,
975000,-205.93,2.947,,
980000,-206.98,2.949,,
985000,-208.04,2.925,,
990000,-209.10,2.939,,
995000,-210.15,2.937,,
1000000,-211.21,2.947,,
1005000,-212.26,2.939,,
1010000,-213.32,2.93,,
1015000,-214.38,2.93,,
1020000,-215.43,2.949,,
1025000,-216.49,2.939,,
1030000,-217.54,2.996,,
1035000,-218.60,3.008,,
1040000,-219.66,3.008,,
1045000,-220.71,2.993,,
1050000,-221.77,2.986,,
1055000,-222.82,2.988,,
1060000,-223.88,2.998,,
1065000,-224.94,3.008,,
1070000,-225.99,3.049,,
1075000,-227.05,3.018,,
1080000,-228.10,2.998,,
1085000,-229.16,2.996,,
1090000,-230.22,3.044,,
1095000,-231.27,3.035,,
1100000,-232.33,3.047,,
1105000,-233.38,3.022,,
1110000,-234.44,3.022,,
1115000,-235.50,3.047,,
1120000,-236.55,3.047,,
1125000,-237.61,3.108,,
1130000,-238.67,3.135,,
1135000,-239.72,3.125,,
1140000,-240.78,3.125,,
1145000,-241.83,3.132,,
1150000,-242.89,3.096,,
1155000,-243.95,3.066,,
1160000,-245.00,3.098,,
1165000,-246.06,3.086,,
1170000,-247.11,3.103,,
1175000,-248.17,3.083,,
1180000,-249.23,3.074,,
1185000,-250.28,3.083,,
1190000,-251.34,3.076,,
1195000,-252.39,3.083,,
1200000,-253.45,3.054,,
